,lat,lon,ad
373,32.747952,-117.11074,3800 39TH
374,32.77092165,-117.07191325000001,5100 COLLEGE
375,32.79864470311742,-117.15621209543124,3000 HEALTH CENTER
376,32.749074,-117.072592,5800 UNIVERSITY
377,32.583644,-117.084181,700 HOLLISTER
378,32.688902,-117.187511,400 10TH
379,32.831027,-117.148953,4900 MERCURY
380,32.721883,-117.084476,5100 FEDERAL
381,0.0,0.0,1600 CAM DEL RIO NORTH
382,32.80271204124429,-117.2163700675684,4500 MISSION BAY
383,32.701324,-117.118608,3500 OCEAN VIEW
384,32.9577102,-117.128539,13300 RANCHO PENASQUITOS
385,0.0,0.0,1200 CAM DEL RIO NORTH
386,32.752335,-117.129021,4100 OHIO
387,32.799547,-117.244805,4500 GRESHAM
388,32.6933953,-117.06306,4000 DIVISION
389,32.832762,-117.16392,5000 SHAWLINE
390,32.70555,-117.1494297,0 16TH
391,32.74816674333932,-117.07732773008048,5500 UNIVERSITY
392,32.752613,-117.229555,4300 WEST POINT LOMA
393,32.83274816938029,-117.16077733298978,7300 CLAIREMONT MESA
394,32.906863,-117.154526,10400 PARKDALE
395,32.735986,-117.249996,4600 PESCADERO
396,32.823148,-117.100865,10600 TIERRASANTA
397,32.749703,-117.101829,4300 UNIVERSITY
398,32.865163,-117.234169,8600 VILLA LA JOLLA
399,32.7305,-117.2532,2800 SUNSET CLIFFS
400,32.748587,-117.151073,1400 UNIVERSITY
401,32.747837,-117.10185,4300 WIGHTMAN
402,32.970273,-117.081955,14000 STONEY GATE
403,32.704932,-117.053719,6600 AVIATION
404,0.0,0.0,500 01ST
405,32.727527,-117.226824,1600 ROSECRANS
406,32.79182,-117.204043,4200 GESNER
407,32.67264,-117.066994,5700 SHAW
408,32.4672227,-117.0552687,100 G
409,32.98112401075269,-117.24769704301076,2700 VIA DE LA VALLE
410,32.753986,-117.217972,3800 MIDWAY
411,32.757314,-117.142401,2100 MEADE
412,32.691848,-117.036662,7300 PARADISE VALLEY
413,32.71213483302444,-117.04519628437976,7100 LISBON
414,32.905437,-117.12188036620174,9500 GOLD COAST
415,32.753248,-117.099629,4400 ORANGE
416,32.8100235,-117.2225704,0 PACIFIC
417,32.732675,-117.169866,2600 REYNARD
418,32.74318,-117.249105,4800 NARRAGANSETT
419,32.89318096961212,-117.21023548429159,10100 VISTA SORRENTO
420,33.3440689,-116.719837,3500 PALM
421,33.3440689,-116.719837,4500 PALM
422,32.807833,-117.161492,7400 BEAGLE
423,32.72937533616972,-117.19339221913968,3400 HARBOR
424,32.9420838,-117.186842,4200 CARMEL VIEW
425,32.6907067,-117.1023915,0 43RD
426,32.89550637172191,-117.12351407842624,9500 BLACK MTN
427,32.7775262,-117.1433699,7200 FRIARS
428,0.0,0.0,1000 02ND
429,32.892455,-117.195551,5700 OBERLIN
430,33.149467,-117.324708,4400 PARK
431,0.0,0.0,7000 CAMTO MANRESA
432,32.87924375,-117.23112468377349,4000 UNIVERSITY
433,0.0,0.0,1000 CESAR E CHAVEZ
434,32.68962964743573,-117.04701145064654,1200 WOODMAN
435,32.571309,-116.954352,1400 PIPER RANCH
436,32.744051,-117.092423,3600 EUCLID
437,32.7942663340494,-117.1946477871809,3000 CLAIREMONT
438,32.795752,-117.255089,800 HORNBLEND
439,32.777721,-117.058688,6600 ALVARADO
440,32.567071,-117.058124,1600 DEL SUR
441,32.747092,-117.084334,5100 TOWLE
442,32.770782801358486,-117.07486207974988,5600 MONTEZUMA
443,32.5520013,-117.0430813,700 SAN YSIDRO
444,32.982908,-117.2289035,2200 VIA DE LA VALLE
445,32.889899,-117.142729,8200 MIRAMAR
446,32.821854,-117.156976,4500 RUFFNER
447,32.885347,-117.173328,6900 CARROLL
448,32.877193000000005,-117.23033333262222,1700 SAN DIEGO
449,0.0,0.0,0 SOUTH SHORES PARK
450,32.8446274,-117.2715486,7700 IVANHOE
451,32.731131,-117.168789,600 LAUREL
452,32.7952524408362,-117.04207396140956,6500 GOLFCREST
453,32.587424,-117.092735,500 SATURN
454,32.8626995,-117.2226386,0 REGENTS
455,32.7614502615601,-117.08321316485552,4300 COLLWOOD
456,33.008109,-117.088933,16100 WEST BERNARDO
457,32.969967,-117.095392,10700 CARMEL MTN
458,32.560534,-116.979882,2100 BRITANNIA
459,32.961263,-117.119434,13500 OFTEDAHL
460,32.971419,-117.077408,11800 TED WILLIAMS
461,32.74869,-117.249603,2000 BACON
462,32.737566,-117.129387,3100 30TH
463,32.750005,-117.161474,400 WASHINGTON
464,32.814913,-117.264608,800 FORWARD
465,32.75988457035571,-117.18534348019536,2400 HOTEL CIRCLE NORTH
466,32.959577,-117.115495,9800 CARMEL MTN
467,32.7947731,-116.962526,4600 EL CAJON
468,32.719972,-117.163999,100 ASH
469,32.8573693,-117.2535406,9000 LA JOLLA SHORES
470,32.762966,-117.131279,2900 ADAMS
471,32.807798,-117.158043,7600 STALMER
472,32.72811287692567,-117.2252106799873,2900 NIMITZ
473,32.4672227,-117.0552687,400 B
474,32.711714,-117.133704,2800 MARKET
475,32.750578,-117.21232,3400 MIDWAY
476,32.748515,-117.155124,1000 UNIVERSITY
477,32.716887,-117.155712,1100 10TH
478,32.707842790029076,-117.09373625913601,300 47TH
479,32.761426,-117.056493,4600 ROLANDO
480,32.8919572,-117.2402554,1400 TORREY PINES
481,32.745985,-117.104355,4200 LANDIS
482,32.701278,-117.125047,3200 OCEAN VIEW
483,32.728415,-117.170422,2300 INDIA
484,32.7305,-117.2532,1400 SUNSET CLIFFS
485,32.560631,-116.962248,8400 AIRWAY
486,33.00275998023596,-117.06669427631877,15900 BERNARDO HEIGHTS
487,33.124622,-117.2559454,0 PARADISE
488,32.702686,-117.030832,100 MEADOWBROOK
489,32.820075,-117.15516,4400 CONVOY
490,0.0,0.0,1200 08TH
491,32.79829235344073,-117.2570611458974,700 EMERALD
492,32.799903,-117.240738,1600 GARNET
493,0.0,0.0,3300 CAMTO EASTBLUFF
494,0.0,0.0,3900 03RD
495,32.7305,-117.2532,1800 SUNSET CLIFFS
496,32.709497,-117.146578,1900 J
497,32.822775,-117.09783,5000 ABUELA
498,32.781108,-117.169316,7000 TAIT
499,32.761988,-117.067044,4600 COLLEGE
500,32.82777550588447,-117.20757512293669,3700 CLAIREMONT MESA
501,32.7947731,-116.962526,5800 EL CAJON
502,32.904433,-117.100518,10000 AVIARY
503,32.7273114,-117.101547,0 HOME
504,0.0,0.0,3800 06TH
505,32.77243809040709,-117.15469681515295,5400 MISSION CENTER
506,32.781372,-117.131476,9100 FRIARS
507,32.746504,-117.1481,1700 ROBINSON
508,32.752332,-117.130257,4100 30TH
509,32.791585,-117.098165,6500 MISSION GORGE
510,32.711659,-117.142316,2400 MARKET
511,32.802875,-117.006992,8700 NAVAJO
512,32.76713622769789,-117.13931846857291,5000 TEXAS
513,32.77474664910563,-117.1534941749576,7800 FRIARS
514,32.71407394501662,-117.12976078732866,800 30TH
515,32.800312,-117.238872,1700 GARNET
516,32.828476,-117.202427,3900 CLAIREMONT MESA
517,32.763389,-117.114999,3600 ADAMS
518,0.0,0.0,1400 CAM DE LA REINA
519,32.79077,-117.154926,2700 MEADOW LARK
520,32.8737982,-117.225651,9500 MIRAMAR
521,0.0,0.0,0 05TH
522,32.725704,-117.168336,600 GRAPE
523,32.74963,-117.093202,4700 UNIVERSITY
524,32.598388,-117.084188,1600 INDUSTRIAL
525,32.584801,-117.100016,1600 PALM
526,32.748816,-117.079264,5400 UNIVERSITY
527,32.749746,-117.102072,4000 43RD
528,32.727633,-117.172993,2300 PACIFIC
529,33.023959,-117.082229,17000 WEST BERNARDO
530,33.258843,-115.4570543,4600 IMPERIAL
531,32.8727689,-117.2139222,6000 GENESEE
532,32.753214,-117.095316,4600 ORANGE
533,0.0,0.0,3900 06TH
534,32.73637372909074,-117.08860173324648,2900 EUCLID
535,32.74786705809646,-117.07544786778331,5600 UNIVERSITY
536,32.75106,-117.232087,2700 CLOVIS
537,32.750665,-117.239887,4700 WEST POINT LOMA
538,32.830721,-117.199707,4700 KLEEFELD
539,32.753175,-117.091012,4800 ORANGE
540,32.750019,-117.243218,4800 VOLTAIRE
541,32.8401623,-117.2740777,6400 LA JOLLA
542,32.7476726,-117.20275617777777,2700 MIDWAY
543,32.745715,-117.127257,3700 31ST
544,32.799625,-117.08902,4700 OLD CLIFFS
545,32.8009085,-117.0590848,6000 NAVAJO
546,32.730348,-117.171285,900 LAUREL
547,32.915602,-117.1439226,6600 MIRA MESA
548,32.5647958,-117.0789583,1700 ORO VISTA
549,32.8315018,-117.1324786,8400 CLAIREMONT MESA
550,32.7866568,-117.201742,0 FRANKFORT
551,32.739258,-117.173403,3300 HORTON
552,32.711575,-117.106394,4100 MARKET
553,33.017036,-117.075837,11700 LOMICA
554,32.794026,-117.25336,800 THOMAS
555,0.0,0.0,1500 06TH
556,32.72016309377158,-117.05429138968506,1500 HILGER
557,32.923393,-117.227247,11200 CARMEL CREEK
558,32.902872,-117.124133,10200 BLACK MTN
559,32.834555,-117.191386,4600 CLAIREMONT
560,32.790428,-117.101332,10300 FRIARS
561,32.754246,-117.247473,5100 WEST POINT LOMA
562,32.8100235,-117.2225704,4100 PACIFIC
563,32.809828,-117.105432,3700 SANTO
564,32.586969,-117.058204,500 DOOLITTLE
565,0.0,0.0,8000 AVNDA NAVIDAD
566,32.915602,-117.1439226,5400 MIRA MESA
567,32.77449,-116.918866,1800 EL CAJON
568,32.72933,-117.226894,3100 NIMITZ
569,32.657063,-117.1044,300 28TH
570,32.870424,-117.233956,8900 VILLA LA JOLLA
571,32.692671,-117.133807,1300 28TH
572,32.69884,-117.138309,2200 KEARNY
